"","X","list_ID","common_name","scientific_name","date","time","count","duration","location","latitude","longitude","count_tot","month","year"
"1",306,"S21177034","Mallard","Anas platyrhynchos","2015-01-03","02:00 PM",4,90,"US-IL",39.924334,-91.4148653,11,1,2015
"2",307,"S22598375","Mallard","Anas platyrhynchos","2015-03-30","04:30 PM",4,30,"US-VT",43.7829965,-73.3154315,81,3,2015
"3",308,"S22635608","Mallard","Anas platyrhynchos","2015-04-01","04:30 PM",6,20,"US-VT",43.7829965,-73.3154315,16,4,2015
"4",309,"S100219404","Mallard","Anas platyrhynchos","2022-01-06","07:51 AM",3,42,"US-AZ",33.42175,-112.0733,34,1,2022
"5",310,"S1612893","Mallard","Anas platyrhynchos","2004-02-22","01:00 PM",42,60,"US-CA",38.298008,-119.226204,224,2,2004
"6",311,"S79023070","Mallard","Anas platyrhynchos","2021-01-04","01:24 PM",3,273,"US-OK",36.8630914,-96.5667034,69,1,2021
"7",312,"S54632771","Mallard","Anas platyrhynchos","2019-04-06","11:20 AM",1,122,"US-OK",36.2081998,-96.0600758,40,4,2019
"8",313,"S77745729","Mallard","Anas platyrhynchos","2020-12-20","11:59 AM",8,72,"US-OK",36.2081998,-96.0600758,57,12,2020
"9",314,"S80524373","Mallard","Anas platyrhynchos","2021-02-06","10:33 AM",7,93,"US-OK",36.2081998,-96.0600758,58,2,2021
"10",315,"S103266888","Mallard","Anas platyrhynchos","2022-02-20","02:05 PM",6,65,"US-OK",36.2081998,-96.0600758,29,2,2022
"11",316,"S56366335","Mallard","Anas platyrhynchos","2019-05-16","03:09 PM",1,80,"US-MO",38.70534,-90.74048,46,5,2019
"12",317,"S20964481","Mallard","Anas platyrhynchos","2014-12-20","09:30 AM",25,150,"US-MO",38.8719313,-90.1843917,469,12,2014
"13",318,"S40744474","Mallard","Anas platyrhynchos","2017-11-26","08:49 AM",42,24,"US-MO",38.8719313,-90.1843917,223,11,2017
"14",319,"S41155853","Mallard","Anas platyrhynchos","2017-12-17","12:40 PM",6,106,"US-MO",38.6228053,-90.344224,108,12,2017
"15",320,"S21519811","Mallard","Anas platyrhynchos","2015-01-24","12:30 PM",8,60,"US-MO",38.5240964,-90.2668691,37,1,2015
"16",321,"S17855769","Mallard","Anas platyrhynchos","2014-04-12","08:45 AM",1,120,"US-MO",38.690995,-90.2349186,200,4,2014
"17",322,"S16771971","Mallard","Anas platyrhynchos","2014-02-02","04:00 PM",12,30,"US-MO",38.5615895,-90.2653885,193,2,2014
"18",323,"S17365487","Mallard","Anas platyrhynchos","2014-03-08","09:10 AM",30,20,"US-MO",38.614255,-90.2916527,84,3,2014
"19",324,"S16536879","Mallard","Anas platyrhynchos","2014-01-27","02:30 PM",103,45,"US-MO",38.6389068,-90.2853806,275,1,2014
"20",325,"S17223714","Mallard","Anas platyrhynchos","2014-02-27","08:40 AM",43,45,"US-MO",38.6389068,-90.2853806,237,2,2014
"21",326,"S17294044","Mallard","Anas platyrhynchos","2014-03-04","08:15 AM",6,45,"US-MO",38.6389068,-90.2853806,92,3,2014
"22",327,"S17324171","Mallard","Anas platyrhynchos","2014-03-05","08:20 AM",49,50,"US-MO",38.6389068,-90.2853806,167,3,2014
"23",328,"S17334391","Mallard","Anas platyrhynchos","2014-03-06","08:20 AM",47,55,"US-MO",38.6389068,-90.2853806,214,3,2014
"24",329,"S17345055","Mallard","Anas platyrhynchos","2014-03-07","08:20 AM",36,55,"US-MO",38.6389068,-90.2853806,276,3,2014
"25",330,"S17377851","Mallard","Anas platyrhynchos","2014-03-09","03:45 PM",25,80,"US-MO",38.6389068,-90.2853806,118,3,2014
"26",331,"S17410868","Mallard","Anas platyrhynchos","2014-03-12","08:20 AM",8,45,"US-MO",38.6389068,-90.2853806,257,3,2014
"27",332,"S17437862","Mallard","Anas platyrhynchos","2014-03-14","08:00 AM",19,60,"US-MO",38.6389068,-90.2853806,181,3,2014
"28",333,"S17543272","Mallard","Anas platyrhynchos","2014-03-20","09:20 AM",2,80,"US-MO",38.6389068,-90.2853806,102,3,2014
"29",334,"S17697161","Mallard","Anas platyrhynchos","2014-04-01","01:00 PM",4,0,"US-MO",38.6389068,-90.2853806,7,4,2014
"30",335,"S17701725","Mallard","Anas platyrhynchos","2014-04-01","06:30 PM",6,25,"US-MO",38.6389068,-90.2853806,35,4,2014
"31",336,"S17716042","Mallard","Anas platyrhynchos","2014-04-02","04:00 PM",7,40,"US-MO",38.6389068,-90.2853806,134,4,2014
"32",337,"S17760108","Mallard","Anas platyrhynchos","2014-04-05","06:00 PM",9,30,"US-MO",38.6389068,-90.2853806,145,4,2014
"33",338,"S17798169","Mallard","Anas platyrhynchos","2014-04-07","06:00 PM",4,45,"US-MO",38.6389068,-90.2853806,96,4,2014
"34",339,"S17841108","Mallard","Anas platyrhynchos","2014-04-11","09:30 AM",3,60,"US-MO",38.6389068,-90.2853806,103,4,2014
"35",340,"S17891506","Mallard","Anas platyrhynchos","2014-04-14","09:00 AM",4,90,"US-MO",38.6389068,-90.2853806,203,4,2014
"36",341,"S17931688","Mallard","Anas platyrhynchos","2014-04-17","08:00 AM",8,120,"US-MO",38.6389068,-90.2853806,307,4,2014
"37",342,"S17944532","Mallard","Anas platyrhynchos","2014-04-18","08:45 AM",6,10,"US-MO",38.6389068,-90.2853806,45,4,2014
"38",343,"S18038666","Mallard","Anas platyrhynchos","2014-04-22","06:30 PM",1,75,"US-MO",38.6389068,-90.2853806,76,4,2014
"39",344,"S18044118","Mallard","Anas platyrhynchos","2014-04-23","12:00 PM",2,45,"US-MO",38.6389068,-90.2853806,62,4,2014
"40",345,"S18164541","Mallard","Anas platyrhynchos","2014-05-01","08:30 AM",2,60,"US-MO",38.6389068,-90.2853806,91,5,2014
"41",346,"S18178852","Mallard","Anas platyrhynchos","2014-05-02","08:15 AM",4,60,"US-MO",38.6389068,-90.2853806,115,5,2014
"42",347,"S18284435","Mallard","Anas platyrhynchos","2014-05-08","08:20 AM",3,90,"US-MO",38.6389068,-90.2853806,130,5,2014
"43",348,"S18310479","Mallard","Anas platyrhynchos","2014-05-09","06:00 PM",6,60,"US-MO",38.6389068,-90.2853806,87,5,2014
"44",349,"S18346956","Mallard","Anas platyrhynchos","2014-05-11","06:30 PM",4,60,"US-MO",38.6389068,-90.2853806,121,5,2014
"45",350,"S18767759","Mallard","Anas platyrhynchos","2014-06-12","08:30 AM",8,60,"US-MO",38.6389068,-90.2853806,77,6,2014
"46",351,"S19781842","Mallard","Anas platyrhynchos","2014-09-09","08:30 AM",25,45,"US-MO",38.6389068,-90.2853806,74,9,2014
"47",352,"S19854966","Mallard","Anas platyrhynchos","2014-09-16","06:30 PM",18,45,"US-MO",38.6389068,-90.2853806,58,9,2014
"48",353,"S20016034","Mallard","Anas platyrhynchos","2014-10-03","08:45 AM",25,45,"US-MO",38.6389068,-90.2853806,189,10,2014
"49",354,"S20047706","Mallard","Anas platyrhynchos","2014-10-06","08:45 AM",12,60,"US-MO",38.6389068,-90.2853806,105,10,2014
"50",355,"S20070906","Mallard","Anas platyrhynchos","2014-10-08","07:45 AM",18,45,"US-MO",38.6389068,-90.2853806,120,10,2014
"51",356,"S20416528","Mallard","Anas platyrhynchos","2014-11-02","11:00 AM",12,30,"US-MO",38.6389068,-90.2853806,32,11,2014
"52",357,"S20808342","Mallard","Anas platyrhynchos","2014-12-06","10:00 AM",25,60,"US-MO",38.6389068,-90.2853806,34,12,2014
"53",358,"S20893308","Mallard","Anas platyrhynchos","2014-12-13","10:30 AM",30,120,"US-MO",38.6389068,-90.2853806,144,12,2014
"54",359,"S20974801","Mallard","Anas platyrhynchos","2014-12-21","09:15 AM",35,165,"US-MO",38.6389068,-90.2853806,157,12,2014
