"","X","list_ID","common_name","scientific_name","date","time","count","duration","location","latitude","longitude","count_tot","month","year"
"1",1,"S40748758","Snow Goose","Anser caerulescens","2017-11-26","10:28 AM",16,20,"US-MO",38.8719313,-90.1843917,369,11,2017
"2",2,"S33616660","Snow Goose","Anser caerulescens","2017-01-12","07:00 AM",1,90,"US-MO",38.6389068,-90.2853806,272,1,2017
"3",3,"S33809874","Snow Goose","Anser caerulescens","2017-01-20","04:26 PM",1,59,"US-MO",38.6389068,-90.2853806,188,1,2017
"4",4,"S35533959","Snow Goose","Anser caerulescens","2017-03-30","07:05 AM",1,100,"US-MO",38.6389068,-90.2853806,283,3,2017
"5",5,"S35698031","Snow Goose","Anser caerulescens","2017-04-04","07:00 AM",1,127,"US-MO",38.6389068,-90.2853806,369,4,2017
"6",6,"S35861224","Snow Goose","Anser caerulescens","2017-04-10","06:06 PM",1,68,"US-MO",38.6389068,-90.2853806,28,4,2017
"7",7,"S35918417","Snow Goose","Anser caerulescens","2017-04-13","06:59 AM",1,109,"US-MO",38.6389068,-90.2853806,247,4,2017
"8",8,"S36118134","Snow Goose","Anser caerulescens","2017-04-20","07:00 AM",1,98,"US-MO",38.6389068,-90.2853806,237,4,2017
"9",9,"S36198905","Snow Goose","Anser caerulescens","2017-04-23","08:13 AM",1,173,"US-MO",38.6389068,-90.2853806,137,4,2017
"10",10,"S36840525","Snow Goose","Anser caerulescens","2017-05-13","06:00 PM",1,45,"US-MO",38.6389068,-90.2853806,114,5,2017
"11",11,"S37374545","Snow Goose","Anser caerulescens","2017-06-04","07:53 AM",1,118,"US-MO",38.6389068,-90.2853806,108,6,2017
"12",12,"S38541052","Snow Goose","Anser caerulescens","2017-08-08","07:05 AM",1,85,"US-MO",38.6389068,-90.2853806,281,8,2017
"13",13,"S42135357","Snow Goose","Anser caerulescens","2018-01-21","01:37 PM",1,127,"US-MO",38.6389068,-90.2853806,275,1,2018
"14",14,"S82037948","Snow Goose","Anser caerulescens","2021-02-20","05:15 PM",26,4,"US-OK",35.9664503,-95.4937384,696,2,2021
