"","X.1","X","list_ID","common_name","scientific_name","date","time","count","duration","location","latitude","longitude","count_tot","month","year"
"1",2,24,"S37097000","Canada Goose","Branta canadensis","2017-05-23","02:06 PM",1,50,"US-VT",44.097019,-73.3420451,44,5,2017
"2",6,28,"S37075088","Canada Goose","Branta canadensis","2017-05-22","06:17 PM",1,9,"US-VT",43.7829965,-73.3154315,61,5,2017
"3",21,43,"S41909811","Canada Goose","Branta canadensis","2018-01-14","02:01 PM",1,100,"US-MO",38.70534,-90.74048,227,1,2018
"4",22,44,"S56366335","Canada Goose","Branta canadensis","2019-05-16","03:09 PM",1,80,"US-MO",38.70534,-90.74048,46,5,2019
"5",81,103,"S36497526","Canada Goose","Branta canadensis","2017-05-02","06:56 PM",1,58,"US-MO",38.6389068,-90.2853806,40,5,2017
"6",89,111,"S45233334","Canada Goose","Branta canadensis","2018-05-03","01:54 PM",1,55,"US-MO",38.6389068,-90.2853806,55,5,2018
"7",90,112,"S89689436","Canada Goose","Branta canadensis","2021-06-05","05:55 PM",1,85,"US-MO",38.6383932,-90.267979,56,6,2021
"8",109,131,"S18038813","Canada Goose","Branta canadensis","2014-04-20","07:30 AM",1,180,"US-MO",37.0223596,-90.0990486,103,4,2014
"9",125,147,"S82037948","Canada Goose","Branta canadensis","2021-02-20","05:15 PM",200,4,"US-OK",35.9664503,-95.4937384,696,2,2021
"10",4,222,"S111728537","Blue-winged Teal","Spatula discors","2022-05-30","08:08 AM",1,302,"US-OK",36.850766,-102.8821564,100,5,2022
"11",10,228,"S55212997","Blue-winged Teal","Spatula discors","2019-04-21","07:46 AM",1,52,"US-OK",36.9177299,-96.6173317,88,4,2019
"12",28,246,"S22828782","Blue-winged Teal","Spatula discors","2015-04-12","11:00 AM",1,150,"US-MO",38.6129807,-90.2593803,112,4,2015
"13",31,249,"S74645100","Blue-winged Teal","Spatula discors","2020-10-10","11:36 AM",60,7,"US-OK",36.215678,-95.933325,219,10,2020
"14",7,312,"S54632771","Mallard","Anas platyrhynchos","2019-04-06","11:20 AM",1,122,"US-OK",36.2081998,-96.0600758,40,4,2019
"15",11,316,"S56366335","Mallard","Anas platyrhynchos","2019-05-16","03:09 PM",1,80,"US-MO",38.70534,-90.74048,46,5,2019
"16",16,321,"S17855769","Mallard","Anas platyrhynchos","2014-04-12","08:45 AM",1,120,"US-MO",38.690995,-90.2349186,200,4,2014
"17",38,343,"S18038666","Mallard","Anas platyrhynchos","2014-04-22","06:30 PM",1,75,"US-MO",38.6389068,-90.2853806,76,4,2014
"18",85,390,"S35959752","Mallard","Anas platyrhynchos","2017-04-14","05:47 PM",1,88,"US-MO",38.6389068,-90.2853806,53,4,2017
"19",89,394,"S36497526","Mallard","Anas platyrhynchos","2017-05-02","06:56 PM",1,58,"US-MO",38.6389068,-90.2853806,40,5,2017
"20",120,425,"S23175611","Mallard","Anas platyrhynchos","2015-05-02","06:50 AM",1,105,"US-MO",38.6066358,-90.2582139,103,5,2015
"21",127,432,"S84766529","Mallard","Anas platyrhynchos","2021-04-04","11:17 AM",1,32,"US-OK",36.1433479,-95.9096313,37,4,2021
"22",129,434,"S68100906","Mallard","Anas platyrhynchos","2020-04-30","09:33 AM",1,39,"US-OK",36.1501278,-95.8943009,59,4,2020
"23",135,440,"S65697899","Mallard","Anas platyrhynchos","2020-03-11","06:58 PM",1,47,"US-OK",36.1166302,-95.9907184,281,3,2020
"24",139,444,"S82037948","Mallard","Anas platyrhynchos","2021-02-20","05:15 PM",250,4,"US-OK",35.9664503,-95.4937384,696,2,2021
